name,type,category,parent,aliases,description
"Toyota Innova Zenix",product,Mobil,Toyota,"Innova Zenix|Kijang Innova Zenix|Zenix Hybrid","Medium MPV generasi terbaru dengan platform TNGA dan opsi mesin hybrid"
"Toyota Fortuner",product,Mobil,Toyota,"Fortuner GR Sport|New Fortuner","SUV ladder frame tangguh bermesin diesel bertenaga"
"Toyota Yaris Cross",product,Mobil,Toyota,"Yaris Cross Hybrid|Yaris Cross","Compact SUV ramah lingkungan dengan pilihan mesin hybrid buatan lokal"
"Toyota Raize",product,Mobil,Toyota,"Raize GR Sport|Toyota Raize Turbo","Compact crossover lincah dengan mesin 1.0L Turbo dan TSS"
"Honda HR-V",product,Mobil,"Honda Mobil","All New HR-V|HRV SE|HRV Turbo RS","Compact SUV bergaya coupe modern terlaris di kelasnya"
"Honda CR-V",product,Mobil,"Honda Mobil","All New CR-V|CRV Hybrid|CR-V e:HEV","Medium SUV premium keluarga dengan opsi powertrain e:HEV"
"Honda Brio",product,Mobil,"Honda Mobil","Brio Satya|Brio RS|All New Brio","City car terlaris di Indonesia dengan handling lincah dan hemat BBM"
"Honda BR-V",product,Mobil,"Honda Mobil","All New BR-V|BRV Prestige|BR-V N7X","LSUV 7-seater keluarga berfitur keselamatan Honda Sensing"
"Honda WR-V",product,Mobil,"Honda Mobil","Honda WRV|WRV RS","Small SUV berjiwa muda dengan ground clearance tinggi"
"Mitsubishi Xpander",product,Mobil,"Mitsubishi Motors","New Xpander|Xpander Ultimate","Small MPV dengan kenyamanan suspensi terbaik dan kabin senyap"
"Mitsubishi Xpander Cross",product,Mobil,"Mitsubishi Motors","Xpander Cross Premium|New Xpander Cross","Crossover MPV tangguh berjiwa petualang dengan Active Yaw Control"
"Mitsubishi Pajero Sport",product,Mobil,"Mitsubishi Motors","Pajero Sport Dakar|New Pajero Sport","SUV ladder frame legendaris dengan performa diesel 4N15"
"Mitsubishi Xforce",product,Mobil,"Mitsubishi Motors","Xforce Ultimate|Mitsubishi X-Force","Compact SUV futuristik dengan audio premium Dynamic Sound Yamaha"
"Hyundai Ioniq 5",product,Mobil,Hyundai,"Ioniq 5 Signature|Hyundai Ioniq 5 EV","Crossover listrik retro-futuristik pionir buatan lokal Indonesia"
"Hyundai Creta",product,Mobil,Hyundai,"Creta Prime|Hyundai Creta","Compact SUV sarat fitur dengan Hyundai Smartsense dan Bluelink"
"Hyundai Stargazer",product,Mobil,Hyundai,"Stargazer X|Hyundai Stargazer","MPV keluarga futuristik dengan kabin lapang dan captain seat"
"Hyundai Santa Fe",product,Mobil,Hyundai,"All New Santa Fe|Santa Fe Hybrid","SUV bongsor berdesain boxy radikal dengan opsi powertrain hybrid"
"Suzuki XL7",product,Mobil,"Suzuki Mobil","XL7 Hybrid|Suzuki XL7 Alpha","Crossover SUV 7-seater dengan teknologi Smart Hybrid Vehicle by Suzuki"
"Suzuki Ertiga Hybrid",product,Mobil,"Suzuki Mobil","All New Ertiga Hybrid|Ertiga","LMPV keluarga ramah kantong berteknologi elektrifikasi ringan"
"Suzuki Jimny",product,Mobil,"Suzuki Mobil","Jimny 5-Door|Jimny 3-Door","SUV mini off-road 4x4 ikonik dengan kemampuan lintas medan sejati"
"Wuling Air EV",product,Mobil,"Wuling Motors","Air ev Long Range|Wuling Air EV","Mobil listrik kompak perkotaan terlaris dengan kemudahan easy charging"
"Honda Motor",brand,Motor,,"Astra Honda Motor|AHM|Honda Motor ID","Pabrikan sepeda motor terbesar di Indonesia"
"Yamaha Motor",brand,Motor,,"Yamaha Indonesia Motor|YIMM","Pabrikan motor Jepang pionir skuter matik berkarakter sporty"
"Suzuki Motor",brand,Motor,,"Suzuki Sepeda Motor|Suzuki Motor ID","Pabrikan sepeda motor dengan keandalan mesin dan durabilitas tinggi"
"Kawasaki Motor",brand,Motor,,"Kawasaki Motor Indonesia|KMI","Pabrikan motor spesialis sport bike dan trail penjelajah"
Vespa,brand,Motor,,"Piaggio Vespa|Vespa Indonesia","Brand skuter matik premium bergaya retro-klasik asal Italia"
"Honda Beat",product,Motor,"Honda Motor","All New Beat|Beat Street|Honda BeAT","Skuter matik terlaris di Indonesia berbadan ramping dan hemat bahan bakar"
"Honda Vario 160",product,Motor,"Honda Motor","Vario 160 ABS|All New Vario 160","Skuter matik harian sporty dengan mesin 160cc eSP+ 4 katup"
"Honda PCX 160",product,Motor,"Honda Motor","PCX 160 CBS|PCX 160 ABS","Skuter matik gambot premium elegan untuk kenyamanan berkendara jauh"
"Honda ADV 160",product,Motor,"Honda Motor","ADV 160 ABS|Honda ADV","Skuter matik penjelajah tangguh dengan suspensi tabung ganda"
"Honda Scoopy",product,Motor,"Honda Motor","All New Scoopy|Scoopy Prestige","Skuter matik retro modern favorit anak muda berfitur smart key"
"Honda Stylo 160",product,Motor,"Honda Motor","Stylo 160 ABS|Honda Stylo","Skuter matik retro modern fashionable bermesin 160cc bertenaga"
"Honda CBR150R",product,Motor,"Honda Motor","All New CBR150R|CBR 150R","Motor sport fairing 150cc dengan suspensi inverted front fork"
"Yamaha NMAX 155",product,Motor,"Yamaha Motor","NMAX Turbo|All New NMAX 155","Skuter matik maxi terfavorit berteknologi YECVT dan Y-Connect"
"Yamaha Aerox 155",product,Motor,"Yamaha Motor","Aerox Connected|All New Aerox","Maxi scooter berdesain super sporty dengan performa kencang"
"Yamaha XMAX 250",product,Motor,"Yamaha Motor","XMAX Connected|Yamaha XMAX","Skuter matik touring 250cc dengan sistem navigasi Garmin"
"Yamaha Fazzio",product,Motor,"Yamaha Motor","Fazzio Hybrid|Fazzio Lux","Skuter matik Classy Yamaha bermesin Blue Core Hybrid 125cc"
"Yamaha Grand Filano",product,Motor,"Yamaha Motor","Grand Filano Hybrid|Filano Lux","Skuter matik bergaya elegan mewah berlayar TFT sub-display"
"Yamaha MT-15",product,Motor,"Yamaha Motor","MT 15|Yamaha MT15","Motor naked sport agresif bertorsi buas di kelas 155cc VVA"
"Yamaha R15",product,Motor,"Yamaha Motor","R15 Connected|Yamaha R15M","Motor sport fairing berkarakter DNA balap Yamaha R-Series"
"Suzuki Satria F150",product,Motor,"Suzuki Motor","Satria FU|All New Satria F150","Motor bebek underbone kencang legendaris bermesin DOHC 150cc"
"Suzuki Burgman Street 125EX",product,Motor,"Suzuki Motor","Burgman 125|Burgman Street EX","Skuter matik urban elegan berteknologi Suzuki Eco Performance Alpha"
"Kawasaki Ninja 250",product,Motor,"Kawasaki Motor","Ninja 250 Fi|Ninja 250 2 Silinder","Motor sport 2 silinder 250cc pionir fairing di Indonesia"
"Kawasaki KLX 150",product,Motor,"Kawasaki Motor","KLX 150 SE|Kawasaki KLX","Motor trail dual-sport tangguh untuk segala medan jalanan"
"Vespa Primavera",product,Motor,Vespa,"Primavera S 150|Vespa Primavera","Skuter ikonik dengan lampu bulat klasik berteknologi mesin i-get"
"Vespa Sprint",product,Motor,Vespa,"Sprint S 150|Vespa Sprint","Skuter ikonik berlampu heksagonal bernuansa sporty berani"
IDCloudHost,brand,"Cloud & Hosting",,"ID Cloud Host|PT Cloud Hosting Indonesia","Penyedia cloud hosting, VPS NVMe, dan domain asal Indonesia"
"Biznet Gio",brand,"Cloud & Hosting",,"Biznet GIO Cloud|PT Biznet Gio Nusantara","Penyedia layanan cloud computing infrastruktur enterprise dan UMKM"
Dewaweb,brand,"Cloud & Hosting",,"Dewa Web|PT Dewaweb","Penyedia cloud hosting bersertifikasi ISO 27001 dengan SLA tinggi"
Niagahoster,brand,"Cloud & Hosting",,"Niaga Hoster|Web Niagahoster","Penyedia web hosting dan domain bagian dari Hostinger Group"
DomaiNesia,brand,"Cloud & Hosting",,"Domainesia|PT Deneva","Penyedia web hosting murah, domain, dan Cloud VPS berbasis SSD"
Rumahweb,brand,"Cloud & Hosting",,"Rumahweb Indonesia|PT Rumahweb","Penyedia jasa registrasi domain dan web hosting di Indonesia"
Qwords,brand,"Cloud & Hosting",,"Qwords Cloud Web Hosting|PT Qwords Company","Penyedia solusi cloud hosting, dedicated server, dan nama domain"
"Jagoan Hosting",brand,"Cloud & Hosting",,"Jagoan Hosting Indonesia|Beon Intermedia","Penyedia web hosting Indonesia spesialis developer dan startup"
CloudKilat,brand,"Cloud & Hosting",,"Cloud Kilat|KilatVM|PT Infinys System Indonesia","Penyedia infrastruktur komputasi awan lokal terjangkau"
DigitalOcean,brand,"Cloud & Hosting",,"DO|Digital Ocean Inc","Platform cloud computing global penyedia virtual machine Droplet"
"Amazon Web Services",brand,"Cloud & Hosting",,"AWS|Amazon Cloud","Platform komputasi awan komprehensif terdepan di dunia"
"VPS IDCloudHost",service,"Cloud & Hosting",IDCloudHost,"Cloud VPS IDCloudHost|Server IDCloudHost","Layanan Virtual Private Server fleksibel hourly dari IDCloudHost"
"Cloud Hosting IDCloudHost",service,"Cloud & Hosting",IDCloudHost,"Hosting IDCloudHost|Shared Hosting IDCloudHost","Web hosting cPanel berbasis cloud storage berkecepatan tinggi"
"Dedicated Server IDCloudHost",service,"Cloud & Hosting",IDCloudHost,"Dedicated IDCloudHost","Penyewaan server fisik dedicated untuk kebutuhan komputasi besar"
"VPS Biznet Gio",service,"Cloud & Hosting","Biznet Gio","NEO Lite VPS|Biznet Gio VPS","Layanan VPS publik dengan bandwidth gratis tanpa kuota"
"NEO Cloud Biznet Gio",service,"Cloud & Hosting","Biznet Gio","NEO Cloud|NEO Virtual Compute","Layanan cloud compute fleksibel multi-region dari Biznet Gio"
"GIO Cloud Biznet Gio",service,"Cloud & Hosting","Biznet Gio","GIO Cloud Enterprise|Private Cloud Biznet Gio","Solusi enterprise cloud berbasis VMware dengan keamanan tinggi"
"Cloud Hosting Dewaweb",service,"Cloud & Hosting",Dewaweb,"Hosting Dewaweb|Shared Hosting Dewaweb","Hosting premium LiteSpeed dengan keamanan Immunify360"
"VPS Dewaweb",service,"Cloud & Hosting",Dewaweb,"Cloud VPS Dewaweb|Dewaweb VPS","Virtual machine performa tinggi untuk kebutuhan bisnis online"
"Web Hosting Niagahoster",service,"Cloud & Hosting",Niagahoster,"Hosting Niagahoster|Unlimited Hosting Niagahoster","Hosting website berbasis hPanel dengan domain gratis"
"VPS Niagahoster",service,"Cloud & Hosting",Niagahoster,"KVM VPS Niagahoster|Niagahoster VPS","Self-managed KVM VPS dengan full root access dan IP dedicated"
"Cloud Hosting Niagahoster",service,"Cloud & Hosting",Niagahoster,"Managed Cloud Niagahoster","Hosting bertenaga server cloud dengan kemudahan shared hosting"
"Web Hosting DomaiNesia",service,"Cloud & Hosting",DomaiNesia,"Hosting DomaiNesia|cPanel DomaiNesia","Web hosting SSD cepat dengan garansi uptime 99.9%"
"Cloud VPS DomaiNesia",service,"Cloud & Hosting",DomaiNesia,"VPS DomaiNesia|KVM DomaiNesia","Layanan cloud VPS instan dengan bandwidth unmetered"
"Hosting Rumahweb",service,"Cloud & Hosting",Rumahweb,"Shared Hosting Rumahweb|Rumahweb Hosting","Hosting terjangkau dengan dukungan cPanel dan Plesk"
"VPS Rumahweb",service,"Cloud & Hosting",Rumahweb,"Cloud Server Rumahweb|VPS Rumahweb","Virtual private server fleksibel dengan pilihan OS Linux dan Windows"
"Cloud Web Hosting Qwords",service,"Cloud & Hosting",Qwords,"Hosting Qwords|cPanel Qwords","Hosting berkecepatan tinggi dengan server di data center tier 3 lokal"
"VPS Cloud Qwords",service,"Cloud & Hosting",Qwords,"Cloud VPS Qwords|Server Qwords","Server virtual terdedikasi untuk aplikasi skala enterprise"
"Kilat VM",service,"Cloud & Hosting",CloudKilat,"KilatVM 2.0|CloudKilat VM","Server komputasi awan fleksibel berkonsep bayar sesuai pemakaian"
"Amazon EC2",service,"Cloud & Hosting","Amazon Web Services","AWS EC2|Elastic Compute Cloud","Layanan komputasi awan virtual berkapasitas terukur dari AWS"
Telkomsel,brand,"ISP & Telco",,"Tsel|PT Telkomsel","Operator seluler dengan cakupan jaringan terluas di Indonesia"
"Indosat Ooredoo Hutchison",brand,"ISP & Telco",,"Indosat|IOH|PT Indosat Tbk","Operator telekomunikasi seluler digital terkemuka di Indonesia"
"XL Axiata",brand,"ISP & Telco",,"XL|PT XL Axiata Tbk","Operator seluler dan penyedia layanan internet pita lebar"
Smartfren,brand,"ISP & Telco",,"Smartfren Telecom|PT Smartfren Telecom Tbk","Penyedia layanan telekomunikasi berbasis jaringan 4G penuh"
Biznet,brand,"ISP & Telco",,"Biznet Networks|PT Midplaza Prima","Penyedia infrastruktur digital dan internet fiber optik terkemuka"
"First Media",brand,"ISP & Telco",,"FirstMedia|PT Link Net Tbk","Penyedia layanan internet broadband rumah dan TV kabel berbayar"
MyRepublic,brand,"ISP & Telco",,"My Republic|MyRepublic Indonesia","Penyedia internet fiber ultra cepat khusus gamer dan keluarga"
Oxygen.id,brand,"ISP & Telco",,"Oxygen ID|PT Mora Telematika Indonesia","Layanan internet broadband fiber optik tanpa kuota dari Moratelindo"
CBN,brand,"ISP & Telco",,"CBN Internet|PT Cyberindo Aditama","Pionir penyedia layanan internet premium dan pusat data di Indonesia"
IndiHome,service,"ISP & Telco",Telkomsel,"Indihome Fiber|Telkom IndiHome","Layanan internet rumah fiber optik terluas di bawah Telkomsel"
by.U,service,"ISP & Telco",Telkomsel,"byU|by U Telkomsel","Layanan seluler prabayar serba digital pertama di Indonesia"
"Telkomsel Halo",service,"ISP & Telco",Telkomsel,"Kartu Halo|Halo Telkomsel","Layanan pascabayar premium dari Telkomsel dengan kuota prioritas"
IM3,service,"ISP & Telco","Indosat Ooredoo Hutchison","Indosat IM3|IM3 Ooredoo","Layanan seluler prabayar dan pascabayar berjiwa muda dari IOH"
"Tri Indonesia",service,"ISP & Telco","Indosat Ooredoo Hutchison","3 Indonesia|Kartu Tri|Tri IOH","Brand seluler hemat dengan kuota isi ulang fleksibel"
"Indosat HiFi",service,"ISP & Telco","Indosat Ooredoo Hutchison","HiFi Indosat|Indosat Fiber","Layanan internet rumah berbasis fiber optik kecepatan tinggi dari IOH"
"XL Prabayar",service,"ISP & Telco","XL Axiata","Kartu XL|XL Prepaid","Layanan kartu seluler prabayar dengan paket internet variatif"
AXIS,service,"ISP & Telco","XL Axiata","Kartu AXIS|Axis XL","Brand seluler anak muda berfokus pada paket kuota hemat dan bonus"
"XL SATU",service,"ISP & Telco","XL Axiata","XL SATU Fiber|XL Satu Bape","Layanan konvergensi internet rumah fiber dan kuota HP sekeluarga"
"Biznet Home",service,"ISP & Telco",Biznet,"Internet Biznet Home|Biznet Fiber","Layanan internet wifi rumah ultra cepat dengan simetris download-upload 1:1"
"Biznet Metronet",service,"ISP & Telco",Biznet,"Metronet Biznet|Biznet UKM","Layanan internet broadband dedicated untuk segmen usaha kecil dan menengah"
Tokopedia,brand,E-commerce,,"Toped|PT Tokopedia","Marketplace belanja daring terbesar asli Indonesia"
Shopee,brand,E-commerce,,"Shopee Indonesia|PT Shopee International Indonesia","Platform e-commerce mobile-first terkemuka di Asia Tenggara"
Blibli,brand,E-commerce,,"Blibli.com|PT Global Digital Niaga Tbk","Pelopor ekosistem omnichannel perdagangan dan gaya hidup terpercaya"
Lazada,brand,E-commerce,,"Lazada Indonesia|PT Lazmall","Platform e-commerce terkemuka bagian dari Alibaba Group"
Bukalapak,brand,E-commerce,,"BL|PT Bukalapak.com Tbk","Perusahaan teknologi yang memberdayakan warung dan UMKM"
"TikTok Shop",brand,E-commerce,,"Shop Tokopedia|TikTok E-commerce","Platform social commerce belanja langsung di aplikasi TikTok"
Gojek,brand,"Ride Hailing",,"Go-Jek|PT GoTo Gojek Tokopedia Tbk","Super-app on-demand pelopor ride-hailing di Indonesia"
Grab,brand,"Ride Hailing",,"Grab Indonesia|GrabTaxi","Aplikasi super penyedia transportasi, pesan antar makanan, dan finansial"
Maxim,brand,"Ride Hailing",,"Maxim Indonesia|Maxim Transportasi","Layanan ride-hailing dan pemesanan kendaraan dengan tarif kompetitif"
inDrive,brand,"Ride Hailing",,"inDriver|inDrive Indonesia","Aplikasi transportasi daring dengan sistem penawaran harga langsung"
"J&T Express",brand,Logistics,,"JNT|J&T Express Indonesia","Perusahaan jasa pengiriman ekspres kilat berbasis teknologi e-commerce"
"JNE Express",brand,Logistics,,"JNE|PT Jalur Nugraha Ekakurir","Perusahaan logistik dan kurir ekspres tertua dan terbesar di Indonesia"
"SiCepat Ekspres",brand,Logistics,,"SiCepat|PT SiCepat Ekspres Indonesia","Penyedia layanan logistik terintegrasi cepat dengan layanan pick up"
Anteraja,brand,Logistics,,"AnterAja|PT Tri Adi Bersama","Layanan kurir online bagian dari Triputra Group terintegrasi marketplace"
"Ninja Xpress",brand,Logistics,,"Ninja Van|Ninja Van Indonesia","Jasa ekspedisi dan pengiriman barang e-commerce berskala internasional"
"Pos Indonesia",brand,Logistics,,"PosAja|PT Pos Indonesia Persero","BUMN logistik pos dan kurir tertua dengan jaringan kantor pos terluas"
"Wahana Express",brand,Logistics,,"Wahana Prestasi Logistik|Wahana","Jasa pengiriman paket hemat dan ekonomis ke seluruh wilayah Indonesia"
"Lion Parcel",brand,Logistics,,"Lion Express|Lion Air Parcel","Jasa ekspedisi logistik pengiriman via armada kargo udara Lion Group"
Paxel,brand,Logistics,,"Paxel Indonesia|Paxel Sameday","Layanan logistik berbasis aplikasi pionir pengiriman sameday dan cold chain"
GoCar,service,"Ride Hailing",Gojek,"Go-Car|Gojek Car","Layanan transportasi mobil online aman dan nyaman dari Gojek"
GoFood,service,"Ride Hailing",Gojek,"Go-Food|Gojek Makanan","Layanan pesan antar makanan daring terfavorit masyarakat Indonesia"
GoSend,service,"Ride Hailing",Gojek,"Go-Send|Gojek Kirim Paket","Layanan kurir instan dan pengiriman barang kilat dalam kota"
GrabCar,service,"Ride Hailing",Grab,"Grab Car|Mobil Grab","Layanan pemesanan mobil transportasi online harian dari Grab"
GrabFood,service,"Ride Hailing",Grab,"Grab Food|Pesan Makan Grab","Layanan antar makanan online dengan ribuan mitra resto pilihan"
GrabExpress,service,"Ride Hailing",Grab,"Grab Express|Kurir Grab","Layanan kurir on-demand pengantaran paket ekspres seketika"
ShopeeFood,service,E-commerce,Shopee,"Shopee Food|Pesan Makan Shopee","Layanan pesan antar makanan dengan voucher diskon melimpah di Shopee"
ShopeePay,service,E-commerce,Shopee,"Shopee Pay|Dompet Shopee","Layanan dompet digital dan pembayaran nontunai terintegrasi Shopee"
SPayLater,service,E-commerce,Shopee,"Shopee PayLater|Paylater Shopee","Layanan paylater beli sekarang bayar nanti di ekosistem Shopee"
